nomeproduto,quantidade,datavenda
Teclado Mecânico,2,2025-01-15
Mouse Gamer,5,2025-01-17
Monitor 27",1,2025-02-03
Cadeira Gamer,3,2025-02-10
Placa de Vídeo RTX 3060,1,2025-02-14
Headset,4,2025-03-01
SSD 1TB,2,2025-03-05
Fonte 600W,1,2025-03-08
Gabinete ATX,1,2025-03-11
Estabilizador,2,2025-03-15
Notebook Gamer,1,2025-03-20
HD Externo 2TB,3,2025-03-25
Pendrive 64GB,6,2025-03-28
Roteador Wi-Fi 6,2,2025-04-04
Monitor Ultrawide 34",1,2025-04-12
Placa de Som USB,2,2025-04-14
Webcam Full HD,3,2025-04-18
SSD 500GB,2,2025-04-22
Fonte 750W,1,2025-04-25
Gabinete Micro ATX,1,2025-04-28
Notebook Ultrafino,1,2025-05-02
Suporte Articulado Monitor,2,2025-05-05
Controle Joystick USB,4,2025-05-10
Mouse Sem Fio,5,2025-05-13
Monitor 32" 4K,1,2025-05-17
SSD NVMe 2TB,1,2025-05-20
Cooler para CPU,2,2025-05-24
Teclado Mecânico,3,2025-06-01
Mouse Gamer,2,2025-06-05
Monitor 27",4,2025-06-12
Cadeira Gamer,1,2025-06-15
Placa de Vídeo RTX 3060,2,2025-06-20
Headset,3,2025-06-25
SSD 1TB,1,2025-06-30
Fonte 600W,5,2025-07-03
Gabinete ATX,2,2025-07-05
Estabilizador,1,2025-07-10
Notebook Gamer,2,2025-07-12
HD Externo 2TB,1,2025-07-15
Pendrive 64GB,2,2025-07-18
Roteador Wi-Fi 6,3,2025-07-22
Monitor Ultrawide 34",5,2025-07-25
Placa de Som USB,3,2025-07-28
Webcam Full HD,4,2025-08-01
SSD 500GB,1,2025-08-05
Fonte 750W,2,2025-08-10
Gabinete Micro ATX,3,2025-08-15
Notebook Ultrafino,2,2025-08-18
Suporte Articulado Monitor,1,2025-08-20
Controle Joystick USB,3,2025-08-25
Mouse Sem Fio,2,2025-08-28
Monitor 32" 4K,4,2025-09-01
SSD NVMe 2TB,3,2025-09-05
Cooler para CPU,1,2025-09-10
