nomeproduto,categoria,preco
Teclado Mecânico,Periféricos,300.00
Mouse Gamer,Periféricos,150.00
Monitor 27",Monitores,1200.00
Cadeira Gamer,Móveis,800.00
Placa de Vídeo RTX 3060,Hardware,3500.00
Headset,Periféricos,200.00
SSD 1TB,Hardware,700.00
Fonte 600W,Hardware,350.00
Gabinete ATX,Hardware,400.00
Estabilizador,Acessórios,250.00
Monitor 24",Monitores,900.00
Placa de Vídeo RTX 3070,Hardware,4500.00
Cadeira Escritório,Móveis,600.00
Impressora Multifuncional,Acessórios,850.00
Notebook Gamer,Computadores,7000.00
HD Externo 2TB,Hardware,500.00
Pendrive 64GB,Acessórios,70.00
Roteador Wi-Fi 6,Acessórios,600.00
Monitor Ultrawide 34",Monitores,3500.00
Placa de Som USB,Acessórios,120.00
Webcam Full HD,Acessórios,300.00
SSD 500GB,Hardware,400.00
Fonte 750W,Hardware,500.00
Gabinete Micro ATX,Hardware,350.00
Notebook Ultrafino,Computadores,4500.00
Suporte Articulado Monitor,Acessórios,200.00
Controle Joystick USB,Periféricos,180.00
Mouse Sem Fio,Periféricos,130.00
Monitor 32" 4K,Monitores,2800.00
Hub USB 3.0,Acessórios,150.00
SSD NVMe 2TB,Hardware,1200.00
Cooler para CPU,Hardware,250.00
